DE;EN;DA;ES;CS;SV;
als ~D~ exportiert;exported as ~D~;-;-;-;exportera som ~D~;
Als ~Kopie~ drucken;Print as copy;-;-;Vytisknout jako kopii;Skriv ut som ~kopia~;
als Farbe;as color;-;-;-;-;
als geplant;as scheduled;-;-;-;som planerat;
Als Neuen Einfügen;Insert as new;-;-;-;Infoga som ny;
alt;old;-;-;-;gammal;
Alte DB Version;Former db version;-;-;Stará DV verze;Gammal databas-version;
Alternativ;Alternative;-;-;-;-;
am;on;-;-;-;den;
Andere;Others;-;-;Ostatní;Andra;
anderen Arbeitsstation gedruckt;Another work station printed;Printet på anden workstation;-;-;utskriven på annan arbetsstation;
Anderer Auftrag wird geruestet;Another job is in set up;Der sættes op til anden ordre;-;-;-;
Anderer Auftrag wird gerüstet;Another job is being set up;Andet ordre bliver sat op;-;Je nasazována jiná zakázka;Annat uppdrag riggas;
ändern;change;-;-;-;ändra;
Ändern;Change;-;-;-;-;
Ändern und Bearbeiten der Etiketten 1-9 in der Planung;Change and edit labels 1-9 in scheduler;-;-;-;Ändring och redigering av etiketterna 1-9 i planering;
Änderung des Solltaktes;Change of STD cycle;-;-;-;Ändring av Bör-takten;
Änderungen der Signalzuordnungen speichern;Save Signal settings;-;-;-;Spara ändringarna av signal-tillordningarna;
Änderungen erfolgreich durchgeführt;Changes successfully proceeded;-;-;-;Ändring har utförts framgångsrikt;
Anfahr_ausschuss;Setup_scrap;-;-;Nájezdové kusy;Inställning_utskott;
Anfahrausschuss;Setup scrap;-;-;-;-;
Anfang;Start;-;Inicio;Zacátek;Start;
angemeldet;logged in;-;-;-;inloggad;
Angussgewicht;Sprue weight;-;-;-;Ingjutningsvikt;
Angußgewicht;Sprue weight;Tilløbsvægt;-;-;Ingjutningsvikt;
Angussgewicht [g;Sprue weight [g;-;-;Váha vtoku [g];Ingjutningsvikt [g;
Angußgewicht [g;Sprue weight [g;-;-;-;Ingjutningsvikt [g;
Angussgewicht aus Werkzeugstamm;Sprue weight of mold master data;-;-;Váha vtoku z nástroje;Ingjutningsvikt ur verktygsstam;
Anlage;System;Anlæg;Dispositivo;Zarízení;System;
Anlage zur Planauslastung;Attachment workload planning;Udstyr til workload planing;-;Plánované vytížení zarízení;System för planering av arbetsbelastning;
Anlagenaus;Sys.fail;-;-;-;-;
Anlagenausfall;System failure;Systemfejl;Fallo del dispositivo;Výpadek zarízení;Systemfel;
Anlagenausfall [h;System Failure [h;-;-;-;-;
Anlagenauswertung;Equipment reporting;-;-;-;-;
Anlagentyp;Stationtype;-;-;-;-;
Anlagetyp;Stationtype;-;-;-;-;
anlegen;create;-;-;-;-;
Anlegen;Create;-;-;Vložit;Skapa;
anmelden;Applied;-;-;-;-;
Anmeldung;Login;-;-;Prihlášení;Inloggning;
ANMELDUNG;LOGIN;-;-;-;-;
Anmeldung an Terminal mit Personalnummer;Login terminal with labor no.;-;-;Prihlášení na terminál osobním císlem;Logga in vid terminalen med personalnumret;
Anmeldung an Werstatt Modul;Login Plant Monitoring;-;-;Prihlášení na modul dílna;Logga in till verkstadsmodulen;
Anmeldung muss vor Abmeldung liegen;Login must be before log off;-;-;-;Inloggning måste genomföras före utloggning;
Anmeldung Personal;Labor login;-;-;Prihlášení obsluha;Inloggning personal;
Anmeldung zur Reparatur;Registration for maintenance;-;-;Prihlášení k oprave;Anmälning för reparation;
Anmeldung: Werkstatt;Login: Plant Monitoring;-;-;Prihlášení: dílna;Anmälning: verkstad;
Anpassen;Adjust;Tilpasse;Ajustar;Priradit;Anpassa;
Anrede;Title;-;-;Oslovení;Tilltal;
Ansicht;View;Sigt;-;Náhled;Vy;
Ansprechzeit;Reaction time;-;-;-;Reaktionstid;
Ansprechzeit einstellen;Adjust reaction time;-;-;-;Inställning av reaktionstid;
Ansprechzeit für Halbautomat;Reaction time for semi automatic;-;-;-;Reaktionstid för halvautomat;
Anstelle der Taktzeit wird Stück pro Stunde ausgegeben;Parts per hour instead of cycletime;-;-;-;Istället för takttid visas styck per timme;
Answer change run to setup;Answer change run to setup;-;-;-;-;
Antwort Auftrag beendet;Answer job finished;-;-;Odpoved zakázka ukoncena;Svar uppdrag slutfört;
Antwort Auftrag gestartet;Answer job started;-;-;Odpoved zakázka zahájena;Svar uppdrag startat;
Antwort Auftrag unterbrochen;Answer job interrupted;-;-;Odpoved zakázka prerušena;Svar uppdrag avbrutet;
Antwort Kavitätswechsel;Answer cavity change;-;-;Odpoved zmena násobnosti;Svar kavitetsbyte;
Antwort Wechsel Auftrag Rüsten/Produktion;Answer change job set up / production;-;-;Odpoved zmena zakázky nasazování/výroba;Svar byte uppdrag riggning/produktion;
Anwendung hinzufügen;Append application;-;-;Priradit použití;Infoga applikation;
Anwendung wird beendet;Application will finish;-;-;Použití je ukonceno;Applikation avslutas;
Anwendung wird in;Application will be in;-;-;-;Applikation i;
Anwendungen;Applications;-;-;Použití;Applikationer;
Anwendungen starten;Start application;-;-;Zaktivovat použití;Starta applikationer;
Anwendungsdatei [*.exe]|*.exe;Application file [*.exe]I*.exe;-;-;-;Applikationsfil [*.exe]|*.exe;
Anz. Monate;No of months;-;-;Pocet mesícu;Antal månader;
Anz. Personen;No of labor;-;-;-;-;
Anz. Stillstände;No of downtimes;-;-;-;-;
Anz. Stops;No of Stops;-;-;-;-;
Anz. Tage;No of days;-;-;Pocet dnu;Antal dagar;
Anz. Temp. Ger;Count temp.mold;-;-;-;-;
Anz. Wochen;No of weeks;-;-;Pocet týdnu;Antal veckor;
Anz.Prüfteile;Sum checkparts;-;-;-;-;
Anz.Stufen;No of levels;-;-;Pocet úrovní;Antal steg;
Anzahl;No of;-;-;Pocet;Antal;
Anzahl Aufträge;No of Jobs;-;-;Pocet zakázek;Antal uppdrag;
Anzahl der gefundenen Datensätze;No of data sets found;-;Número de hojas de datos encontradas;-;Antal hittade datasatser;
Anzahl der Maschinen;No of machines;-;-;Pocet stroju;Antal maskiner;
Anzahl der SPC-Stichproben;No of SPC-samples;-;-;-;-;
Anzahl der Takte pro Stück;No of cycle per part;-;-;-;Antal takter per styck;
Anzahl der zu druckenden Etiketten eingeben;Amount of labels to be printed;-;-;Zadat pocet visacek, které se mají tisknout;Mata in antalet etiketter som skall skrivas ut;
Anzahl eingeben;Input amount;-;-;Zadat pocet;Mata in antalet;
Anzahl Etiketten;No of Labels;Antal etiketter;-;Pocet visacek;Antal etiketter;
Anzahl Kartons;No of boxes;-;Suma cajas;Pocet prepravek;Antal lådor;
Anzahl Lizenzen (benutzt;No of licenses(in use;-;-;Pocet licencí (používáno;Antal licenser (använda;
Anzahl Maschinen;No of machines;-;-;Pocet zarízení;Antal maskiner;
Anzahl Messpunkte;Count. meas. positions;-;-;Pocet bodu na merení;Antal mätpunkter;
Anzahl ohne Stops;Amount without stops;-;-;Pocet bez zastavení;Antal utan stopp;
Anzahl Prüfteile;No of test pieces;-;-;Pocet prezkoušených dílu;Antal kontrolldelar;
Anzahl Spalten;No of columns;-;-;-;-;
Anzahl Stops;No of Stops;-;-;Pocet zastavení;Antal stopp;
ANZAHL TAGE;NUMBER OF DAYS;-;-;Pocet dnu;ANTAL DAGAR;
Anzahl Tage;No of days;-;-;-;Antal dagar;
Anzahl Tage die vom aktuellen Datum ausgehend an Datensätzen erhalten bleiben sollen;No of days to keep based on the actual date;-;-;-;Antal dagar datasatser skall sparas från och med aktuellt datum;
Anzahl Teile;No of parts;-;-;Pocet dílu;Antal delar;
Anzahl Wartungen;No of maintenances;Antal vedligeholdninger;-;Pocet oprav, údržeb;Antal underhåll;
Anzahl Zeilen;No of lines;-;-;-;-;
anzeige;display;-;-;-;-;
Anzeige;Display;-;-;Ukazatel;Visning;
Anzeige : max. (5) Folgeaufträge;View max. (5) Following jobs;-;-;-;-;
Anzeige / Auswahl;Display/Selection;Vis / Udvalg;-;Ukazatel/výber;Visning/urval;
Anzeige aktualisieren;Update display;-;-;Aktualizovat ukazatel;Aktualisera visning;
Anzeige Anz. Takte;show count cycle;-;-;-;-;
Anzeige Ausschuss Protokoll;Display scrap log;-;-;Ukázat protokol o neshodných výrobcích;Visning utskottsprotokoll;
Anzeige für Maschinen der Gruppe;Display machines of group;-;-;Ukazatel stroju ve skupinách;Visning för maskiner i gruppen;
Anzeige geplanter Stillstand;Display scheduled downtime;-;-;Ukazatel plánovaných prostoju;Visning planerat stillestånd;
