DE;EN;DA;ES;CS;SV;
Maschinenstatus buchen;Book machine status;-;-;-;Boka maskinstatus;
Maschinenstatus zeigen;Display machine status;Vis maskinstatus;Mostrar estado de maquina;-;Visa maskinstatus;
Maschinenstillstand an;Machine downtime at;-;-;-;Maskinstillestånd till;
Maschinenstillstand bereits gebucht;Machine downtime is already booked;-;-;-;Maskinstillestånd har redan bokats;
Maschinentafel;Machine panel;-;-;-;-;
Maschinentafel gedruckt;Machine panel printed;-;-;-;-;
Maschinenübersicht;Machine overview;-;-;-;Maskinöversikt;
Maschinenverfügbarkeit;Machine availability;-;-;-;Tillgänglighet maskin;
Maschinenwartung;Machine maintenance;-;-;-;-;
Maschinenwechsel;Change of machine;-;-;-;Maskinbyte;
Maschinenwerkskalender;Machine plant calendar;Maskinwærkskalænder;-;-;Maskin-verkskalender;
Maschinenzuordnung;Machine allocation;-;-;-;Maskintillordning;
Maschinenzuordnungen eintragen;Enter machine allocation;-;-;-;Mata in maskintillordning;
Maschinenzustand;Machine condition;Maskinkondition;-;-;Maskinens tillstånd;
Maschinenzustand anzeigen;Show machine status;-;-;-;-;
Maschinenzustand im Auftrag anzeigen;Show machine status in job;-;-;-;-;
MASCHINF;MACHINNF;MASCHINF;-;-;MASKINF;
Maschnr;Machine no;-;-;-;-;
MaschNr;MachNo;-;-;-;MaskNr;
MASCHNR;MACHNO;-;-;-;MASKNR;
MASCHPROGRAMMBETRIEB;MACHPROGRAMOPERATION;-;-;-;MASK-PROGRAMDRIFT;
MASCHSOLLTAKT;MACH_STD_CYCLE;-;-;-;-;
MASCHVERGLEICH;MACHINE COMPARISON;-;-;-;MASK-JÄMFÖRELSE;
MaschWarmtrennen;MachWarmSeperate;-;-;-;MaskVarmseparering;
Massepolster;-;-;-;-;-;
Master;Master;-;-;-;Master;
Master Kennwort;Master password;-;-;-;-;
Masterauftrag;Master job;Masterordre;-;-;Masteruppdrag;
MASTERMASCHINE;MASTER_MACHINE;-;-;-;-;
Masterstatistik;Master statistic;-;-;-;-;
Material;Material;Materiale;-;-;Material;
Material / h in kg;Material / h in kg;Materiale / t i kg;-;-;Material / t i kg;
Material 1 Bezeichnung;Material 1 Description;-;-;-;Material 1 beteckning;
Material 1 Nr;Material 1 No;-;-;-;Material 1 nr;
Material 2 Bezeichnung;Material 2 description;-;-;-;Material 2 beteckning;
Material 2 Bezeichung;Material 2 description;-;-;-;Material 2 beteckning;
Material 2 Nr;Material 2 No;-;-;-;Material 2 nr;
Material 3 Bezeichnung;Material 3 description;-;-;-;Material 3 beteckning;
Material 3 Bezeichung;Material 3 description;-;-;-;Material 3 beteckning;
Material 3 Nr;Material 3 No;-;-;-;Material 3 nr;
Material bearbeiten;Edit material;-;-;-;Redigera material;
Material Bez;material desc.;-;-;-;-;
Material Bezeichnung;Material description;Materialebetegnelse;-;-;Material beteckning;
Material buchen;Book material;Bogfør materiale;-;-;Boka material;
Material Chargen;Material batches;Materialparti;Clases de material;-;Material lotter;
Material Eingabe;Input material datas;Materialeinput;-;-;Materialinmatning;
Material eingeben;Enter material;-;-;-;Mata in material;
Material gebucht;Material booked;Materiale ikke bogført;-;-;-;
Material Gew;material weight;-;-;-;-;
Material gewechselt;Material changed;-;-;-;-;
Material löschen;Delete material;-;-;-;Radera material;
Material neu;new material;-;-;-;-;
Material Nr;material no.;-;-;-;-;
Material number;Material number;-;-;-;Material nummer;
Material Protokoll;Material log;-;-;-;Material protokoll;
Material Stammdaten;Material master datas;-;-;-;Material stamdata;
Material Stückliste;Material Partlist;-;-;-;-;
Material Stueckliste;Material Partlist;-;-;-;-;
Material suchen;Search material;Søg materiale;-;-;Sök material;
Material Suchen;Search for material datas;Søg material;-;-;Sök material;
Material wählen;Select material;Vælg materiale;-;-;Välj material;
Material zurückbuchen;Unbook material;Annuler materialereservation;-;-;Boka tillbaka material;
Material-Bezeichnung;Material description;Materialenavn;-;-;Material-beteckning;
Material-ID;Material no.;-;Material-ID;-;Material-ID;
Material-Nr;Material No.;Materialenr.;-;-;Materialnr;
Material-Nr. alt;Material No. old;-;-;-;-;
Material-Nr. neu;Material No. new;-;-;-;-;
Material2 nicht definiert;Material2 not defined;-;-;-;-;
Materialbereitstellungsliste;Material resource list;-;-;-;-;
Materialbez;Material des.;-;-;-;Materialbet;
Materialbezeichnung;Material description;-;-;-;Materialbeteckning;
Materialdaten;Material data;Materialedata;Datos de material;-;Materialdata;
Materialeingabe;Insert new material;Opret materiale;-;-;Mata in material;
Materialliste;Material list;-;-;-;Materiallista;
Materialliste zeigen;Show materiallist;-;-;-;-;
Materialmenge;Material quantity;-;-;-;Materialmängd;
MaterialNr;MaterialNo;-;-;-;-;
MATERIALNR;MATERIALNO;-;-;-;MATERIALNR;
Materialnummer;Material no.;Materialenr.;Material number;-;Materialnummer;
Materialnummer neu anlegen;Create new material number;Opret nyt materiale nr.;-;-;Skapa nytt materialnummer;
Materialverbrauch;Material consumption;-;-;-;-;
Materialverwaltung;Material Administration;-;-;-;Materialförvaltning;
Materialwechsel;Material change;-;-;-;-;
max. Anzahl (Pers;Max. no of (labor;-;-;-;max. antal (pers;
max. Dauer;max. duration;-;-;-;max. längd;
Max. Maschinen auf Nutzungsgradgrafik;Max. machines on availability factor graphic;-;-;-;Max. antal maskiner i grafiken för nyttjning;
max. Spritzdruck;Max. injection pressure;-;-;-;-;
Maximale Anzahl von Gruppen überschritten;maximum amount of groups exceeded;-;-;-;Max. antal grupper överskridet;
Maximum;Maximum;maximum;-;-;Maximum;
MDE;RTM;MDO;MDE;-;MDE;
MDE gepl. Still;RTM sched. DT;-;-;-;MDE plan. stillest.;
MDE_VER;RTM_VER;-;-;-;MDE-JÄM;
MDE-Gepl;RTM sched.;-;-;-;-;
MDE-Gepl. Still;RTM sched. DT;-;-;-;MDE plan. stillest.;
MDE-Order anlegen;Create RTM-order;Opret MDO-ordre;-;-;Skapa MDE-uppdrag;
MDE-Order bearbeiten;Edit RTM-Order;Redigere MDO-ordre;-;-;Redigera MDE-uppdrag;
MDE-Order bereits vorhanden;RTM order exists;-;MDE-ya existe la orden;-;MDE-uppdrag existerar redan;
MDE-Order eingeben;Input RTM-order;-;-;-;Mata in MDE-uppdrag;
MDE-Order löschen;Delete RTM order;-;MDE-eliminar la orden;-;Radera MDE-uppdrag;
MDE-Order-Bezeichnung eingeben;Enter RTM order description;-;MDE-introducir denominación de la orden;-;Mata in MDE-uppdragsbeteckning;
MDE-Vergleich;RTM-comparision;-;-;-;MDE-jämförelse;
MDE-Vergleich anlegen;Create RTM-Comparison;Opret MDO-sammenligning;-;-;Skapa MDE-jämförelse;
MDE-Vergleich bearbeiten;RTM Cycle Time Comparison;-;-;-;-;
MDE-Vergleich eingeben;Enter RTM-Comparator;Indtast MDO-sammenligning;-;-;Mata in MDE-jämförelse;
MDE-Vergleich eingeben / bearbeiten;RTM - Comporator input/edit;-;-;-;Mata in / redigera MDE-jämförelse;
MDE. Maschinenauftragsbelegung;RTM. Machine job allocation;;;;;
MDE/WS;RTM/PM;-;-;-;MDE/WS;
Mehrere Aufträge in einem Werkzeug;Several jobs in one mold;-;-;-;Flera uppdrag i ett verktyg;
Mehrstufige Auftragsanzeige;Multistage job view;-;-;-;Uppdragsvisning i flera nivåer;
Meldung;Report;Rapport;-;-;Meddelande;
Meldung ~Versäumt;Message ~missed;-;-;-;Meddelande ~försummad;
Meldung eingeben;Input Message;-;-;-;-;
Meldung gelöscht;Message deleted;-;-;-;-;
Meldung löschen;Delete message;-;-;-;-;
Meldung nur über ganze Tage generieren;Generate reports only for whole day;-;-;-;Generera meddelandet hela dagen;
Meldung von Stueckzahlen mit Zeit und Personalnr;Messaging pieceamount with time and laborl no;-;-;-;Meddela stycktal med tid och personalnr.;
Meldungen;messages;-;-;-;Meddelanden;
Meldungsfenster;Report window;Rapportvindue;-;-;Meddelandefönster;
Memo;Memo;-;-;-;Memo;
Men;Qty;-;-;-;Mgd;
Menge;Quantity;Mængde;-;-;Mängd;
Menge [Kg;Quantity[KG;-;-;-;Mängd [kg;
Menge / Teil;Amount / Part;-;-;-;-;
Menge / VE;Amount /VE;Mængde / VE;-;-;Mängd / FE;
Menge abs;Total amount;-;-;-;Total mängd;
Menge buchen;Book Amount;-;-;-;-;
Menge eingeben;Input amount;-;-;-;-;
Menge erfüllt;Amount fulfilled;-;-;-;Mängd uppfylld;
Menge Ist;Current Quantity;Aktuel mængde;Current amount;-;Mängd Är;
Menge korrigieren;Edit amount;-;-;-;-;
Menge Soll;STD Quantity;-;Set amount;-;Mängd Bör;
Mengeneinheit;Unit;-;-;-;-;
MengeSum;Amount sum;-;-;-;Summa mängd;
Menü;Menu;-;-;-;Meny;
Menüleiste;Menu bar;-;-;-;Menylist;
Merkmal;Feature;Kendetegn;-;-;Kännetecken;
Merkmal bearbeiten;Edit feature;-;-;-;Redigera kännetecken;
Merkmal eingeben;Enter feature;-;-;-;Mata in kännetecken;
Merkmal löschen;Delete feature;-;-;-;Radera kännetecken;
Merkmale;Features;-;-;-;Kännetecken;
Merkmalswert;Feature value;-;-;-;Kännetecknets värde;
Messenger nicht lizensiert;Messenger not licensed;-;-;-;-;
Messpunkt;Measurment point;målepunkt;-;-;Mätpunkt;
Meßpunkt;Checkpoint;Målepunkt;-;-;Mätpunkt;
Meßpunkte;measurement positions;-;-;-;Mätpunkter;
Messung pro Schuss;meas. per cycle;-;-;-;Mätningar per cykel;
MESSUNG_PRO_SCHUSS;MEASURE_FOR_CYCLE;-;-;-;MÄTNING_PER_CYKEL;
Meßwerte;Measured data;-;-;-;-;
Messwerte übernommen;Measurment point applied;-;-;-;Överta mätvärde;
Meta-Variable einfügen;Insert Meta-Variable;-;-;-;Infoga meta-variabel;
Metall;Metall;-;-;-;Metall;
Meter;meter;-;-;-;Meter;
Meter_nach_kilo;Meter_to_kilo;-;-;-;Meter_efter_kilo;
METER_NACH_KILO;METER_TO_KILO;-;-;-;METER_EFTER_KILO;
Meter/Kilo eingeben;Enter meter/kilo;-;-;-;Mata in meter/kilo;
Mi;Wed;-;-;-;On;
MI;Wed;Ml;MI;-;On;
min;min;-;-;-;min;
min in h;min in h;-;-;-;-;
min. buchen;min. booking;-;-;-;-;
min. erfolgreich gebucht;min. successfully booked;-;-;-;-;
Min. Stillstandsdauer;Min. downtime duration;Min. Stilstandsvarighed;-;-;Min. stilleståndstid;
Min. Stillstandsdauer für Anzeige;Min. downtime displayed;Min. Stilstandstid til visualisering;-;-;Min. stilleståndstid för indikering;
Min. Tag;Min. day;Min. Dag;-;-;Min. dag;
Minimum;Minimum;minimum;-;-;Minimum;
Minute;Minute;-;-;-;-;
Minuten;Minutes;Minutter;Minutos;-;Minuter;
Mit aufräumen beginnen am;Begin to clean up at;-;-;-;Påbörja städningen den;
Mitarbeiter;Employee;Medarbejder;-;-;Medarbetare;
Mittel;middle;-;-;-;Medel;
Mittel Report;mid size report;-;-;-;-;
Mittel-Geschw;Avg-speed;-;-;-;-;
Mittel-Nachdruck;Avg-post inj. pres.;-;-;-;-;
Mittelwert;Average;Middelværdi;-;-;Medelvärde;
Mittelwert der Schicht bilden und alte Datensätze  löschen;Calculate mean value of the shift and delete old data set;-;-;-;Bilda skiftets medelvärde och radera gamla datasatser;
Mittwoch;Wednesday;Onsdag;Miércoles;-;Onsdag;
mm;mm;-;-;-;mm;
mm/s;mm/s;-;-;-;mm/s;
MO;Mon;MO;LU;-;Må;
Mo;Mon;-;-;-;Må;
Möchten Sie das Protokoll wirklich löschen;Do you want to delete the log file;-;-;-;-;
Möchten Sie das Signal;Do you want to delete this signal;-;-;-;-;
Möchten Sie das Werkzeug wirklich Löschen;Really delete mold;Vil du virkelig slætte DETTE værktøj;Desea Ud. eliminar realmente la herramienta;-;Vill du verkligen radera verktyget;
Möchten Sie den Arbeitsgang;Do you want the stage of work;Vil du denne arbejdsgang;Desea Ud. la operación;-;Vill du denna arbetsgång;
Möchten Sie den Arbeitsgang dennoch anlegen;Do you still want to enter a stage of work;Vil du alligevel oprette denne arbejdsgang;Desea Ud. no obstante crear la operación;-;Vill du skapa arbetsgången ändå;
Möchten Sie den Auftrag;Do you want the job;Vil du DENNE ordre;Desea Ud. LA tarea;-;Vill du DET uppdraget;
Möchten Sie DEN Auftrag;Do you like this job;-;-;-;-;
Möchten Sie den Auftrag wirklich unterbrechen;Do you really want to interrupt the job;Vil du virkelig afbryde ordren;Desea realmente interrumpir la tarea;-;Vill du verkligen avbryta uppdraget;
Möchten Sie den Datensatz wirklich löschen;Do you really want to delete this file;-;-;-;-;
Möchten Sie DEN Eintrag wirklich Löschen;Do you really want to delete this entry;-;-;-;-;
Möchten Sie den Eintrag wirklich Löschen;Do you want to delete the entry;Vil du virkelig slætte DENNE ordre;Desea Ud. realmente eliminar EL registro;-;Vill du verkligen radera DEN posten;
Möchten Sie den gewählten Datensatz wirklich löschen;Do you really want to delete the selected data record;Vil du virkelig slætte den aktuelle sats;Desea Ud. realmente eliminar la hoja de datos;-;Vill du verkligen radera den valda datasatsen;
Möchten Sie den Stillstand wirklich löschen;Do you really want to delete down time;Vil du virkelig slætte stilstanden;Desea Ud. realmente eliminar el bloqueo;-;Vill du verkligen radera stilleståndet;
Möchten Sie die Belegungseinheit;Do you want the allocation unit;Vil du denne enhed;Desea Ud. la unidad de comprobación;-;Vill du beläggningsenheten;
Möchten Sie die Programm-Nr;Do you want the program-No.;Vil du dette programnummer;Desea Ud. el número del programa;-;Vill du detta programnr;
Möchten Sie ein Duplo anlegen;Do you want to enter a duplo;Vil du oprette en duplo;Desea Ud. crear un duplicado;-;Vill du skapa en duplo;
Möchten Sie wirklich alle Jobs löschen;Do you really want to delete all jobs;Vil du virkelig sløtte alle jobs?;Desea Ud. realmente eliminar todas las tareas;-;Vill du verkligen radera alla jobb;
Modul;Module;-;-;-;Modul;
Modul Controlling;Module Reporting;-;Module Controlling;-;Modul controlling;
Modul Feinplanung;Module Scheduling;-;-;-;Modul finplanering;
Modul neu starten;Start modul again;-;-;-;-;
Module;Modules;modul;-;-;Moduler;
Module / Optionen;Modules / Options;-;-;-;-;
Modus;Modus;-;-;-;-;
Monat;Month;måned;Mes;-;Månad;
Monat. von;Month from;-;-;-;-;
Monate;Month;måned;Meses;-;Månader;
monatlich;monthly;-;Monthly;-;månatligt;
monatlich) von;monthly) from;-;-;-;månatligt) från;
Monatskalender;Monthly calendar;Månedskalender;-;-;Månadskalender;
Montag;Monday;Mandag;Lunes;-;Måndag;
Mrz;Mar;-;-;-;Mar;
Multiplikator;Multiplier;-;-;-;-;
Mutterauftrag;Master job;hovedordre;-;-;Masteruppdrag;
n. gebucht;Not booked;-;-;-;-;
n. gebucht. [h;Not booked [h;-;-;-;-;
n.i.O;not Ok;-;-;-;-;
N/A;n/a;-;-;-;n/a;
Nach;Post;Efter;-;-;Efter;
Nach dem FIFO-Prinzip müsste als nächstes die Chargen-Nr;According to the FIFO-System, the the next charge-No is;Efter FIFO prinsippet kommer partinummer som næste;Según el principio de FIFO el número de clases debería ser el siguiente;-;Enligt FIFO-principen är nästa lott nr.;
nach oben;upwards;-;-;-;-;
nach unten;downwards;-;-;-;-;
Nacharbeit;Rework;Efterarbejde;-;-;Efterarbete;
Nacharbeit Log;Rework log;-;-;-;Efterarbets-logg;
Nachberechnung für alle Maschinen;Recalculation for all machines;;;;;
Nachberechnung gestartet;Recalculation started;;;;;
Nachberechnung läuft;Recalculation is running;;;;;
Nachberechnung starten;Start Recalculation;;;;;
Nachdruck;Post injection pressure;eftertryk;-;-;Eftertryck;
Nachkommastellen;Decimal places;-;-;-;-;
Nachname;Name;-;-;-;-;
Nächste 2 Wochen;Next 2 weeks;-;-;-;-;
Nächste 3 Monate;Next 3 month;-;-;-;-;
Nächste 3 Tage;Next 3 days;-;-;-;-;
Nächste Stunde;Next hour;-;-;-;-;
Nächste Woche;Next week;-;-;-;-;
Nächster Monat;Next month;-;-;-;Nästa månad;
Nächster Tag;Next day;-;-;-;-;
Nächster Vorgang wird aktiviert am/um;Next Procedure starts at;-;-;-;Nästa procedur aktiveras den/klockan;
Nächstes Bool;Next Bool;-;-;-;Nästa Bool;
Nächstes Jahr;Next year;-;-;-;Nästa år;
Nachtschicht;Night shift;Natskift;-;-;Nattskift;
NAME;NAME;NAVN;-;-;NAMN;
Name;Name;Navn;-;-;Namn;
Name bereits vergeben;Name is in use;-;-;-;-;
Name bereits vorhanden! Trotzdem fortfahren;Name already exists! Do you still want to continue;Navnet findes allerede! Videre?;Nombre ya existe! Proseguir de todas maneras;-;Namn existerar redan! Vill du fortsätta ändå;
Name des Feldes das die Datum - Zeit Angaben enthält;Name of filed wich contains the date-time declaration;-;-;-;Namnet på fältet som innehåller datum-tid angivelserna;
Name eingeben;Enter name;-;-;-;Mata in namn;
Name vorhanden;Name already exists;-;-;-;Namn existerar;
Navigator;Navigator;navigator;-;-;Navigator;
navigator;Navigator;navigator;-;-;navigator;
NC-Programm;NC-program;-;-;-;NC-program;
nehmen. Bitte haben Sie einen Augenblick Geduld;Please wait a moment;-;-;-;Var god vänta;
Nein;Non;-;-;-;Nej;
netto Laufzeit;net runtime;-;-;-;-;
NETTOLAUFZEIT;Net Runtime;-;-;-;-;
neu;new;-;-;-;ny;
Neu;New;-;-;-;Ny;
neue Bezeichnung;new description;-;-;-;ny beteckning;
Neue Bezeichnung gibt es schon;The new description already exists;-;-;-;Den nya beteckningen existerar redan;
Neue Bezeichnung ist leer;New description is empty;-;-;-;Den nya beteckningen är tom;
Neue Bezeichnung ist vorhanden;New description exists;-;-;-;-;
Neue G.bezeichnung (Max. 100 Stellen;New g. description (max. 100 chars;-;-;-;Ny G.-beteckning (max. 100 tecken;
neue Maschine anlegen;Input machine no;-;-;-;skapa ny maskin;
Neue Material-Lieferung;New material delivery;Ny materiale levering;-;-;Ny materialleverans;
Neue Personal-Nr. erstellen;Set up new labor no.;-;Set up new personnel No.;-;Skapa nytt personalnummer;
Neue Produktion starten;Start new production;-;-;-;-;
neue Stillstände auf ~Rüsten~ setzen;Set new downtimes on ~setting-up~;-;-;-;sätt nya stillestånd till ~riggning~;
neuen Auftrag anlegen;insert new job;Opret ny ordre;-;-;skapa nytt uppdrag;
Neuen Auftrag anlegen;Create new job;Opret ny ordre;-;-;Skapa nytt uppdrag;
neuen Stillstand eingeben;Enter new downtime code;-;-;-;mata in nytt stillestånd;
Neues Werkzeug anlegen;Create new mold;Opret nyt værktøj;-;-;Skapa nytt verktyg;
nicht ausgewählte;not selected;-;-;-;-;
Nicht beendeter Stillstand vor neu eingegeben Stillstand;Not finished downtime before new downtime;-;-;-;Ej avslutat stillestånd före inmatat nytt stillestånd;
nicht definierter Fehler, Defekte Report - Datei;Non defined fault, defect report - file;udefineret fejl, defekte rapport - file;Error no definido, informe o archivo defectuoso;-;ej definerat fel, defekt rapport-fil;
Nicht definierter Fehler, Defekte Report-Datei;Non defined fault, defect report - file;-;-;-;Odefinerat fel, defekt rapport-fil;
Nicht geb;Not book;-;-;-;-;
Nicht gebucht;Not booked;Ikke booket;No reservado;-;Ej bokat;
nicht gebucht;Not booked;ikke booket;no reservado;-;ej bokat;
nicht gespeichert;not saved;-;-;-;-;
nicht gleich;not instantly;-;-;-;ej lika med;
nicht sichtbar;not visible;-;-;-;-;
nicht starten;do not start;-;-;-;start ej;
nicht vorhanden;does not exist;-;-;-;existerar ej;
nicht zugeordnet;not allocated;Ikke indlagt;no está clasificado;-;ej tillordnat;
Nichtgebucht;Not booked;-;-;-;Ej bokat;
No;No;-;-;-;Nr;
noch angemeldet;still logged in;-;-;-;ej inloggad;
Noch Gruppen am Standort zugewiesen;Groups assigned at location;-;-;-;Positionen har fortfarande grupper tillordnade;
Noch Maschinen am Standort zugewiesen;Machines assigned at location;-;-;-;Positionen har fortfarande maskiner tillordnade;
noch zu produzierende Menge;Quantity still to be produced;-;-;-;mängd som skall produceras;
normal;normal;-;-;-;normal;
Not booked;Not booked;-;-;-;-;
NOTIZ;NOTE;-;-;-;NOTIS;
Notiz;Note;-;-;-;Notis;
Notiz - Einf;Memo - Insert;-;-;-;-;
Notiz einfügen;Input note;-;-;-;-;
Notiz eingeben;Enter note;-;Input notice;-;Mata in notis;
Notizen;Note;noter;Notes;-;Notiser;
Nov;Nov;-;-;-;Nov;
November;November;november;Noviembre;-;November;
Nr;No.;-;-;-;Nr;
NR;No.;NR;-;-;Nr;
Nummer;Number;-;-;-;Nummer;
Nur Auftragsänderungen;Only job changes;-;-;-;Endast uppdragsändringar;
Nur Bereitstellungsänderungen;Only preparation changes;-;-;-;Endast ändring av förberedelser;
Nur Grafik drucken;Print only graphic;-;-;-;-;
nur zur Verwaltung;only for admininistration;-;-;-;endast för förvaltning;
Nutz;Avail;-;-;-;-;
NUTZUNG;AVAILABILITY;UDNYTTELSE;-;-;NYTTJNING;
Nutzung;Availability;Kapasitet;Utilización;-;Nyttjning;
Nutzung: von;Availability from;-;Efficiency from;-;Nyttjning: från;
Nutzungsgrad;Availability factor;-;Efficiency factor;-;Nyttjningsfaktor;
Nutzungsgrad: von;Availability factor: from;-;Efficiency factor from;-;Nyttjningsfaktor: från;
Nutzungsgradfaktor;Availability factor;-;-;-;-;
O.E.E;O.E.E;-;-;-;-;
O.E.E. Maschinen;O.E.E. Machines;-;-;-;-;
O.E.E. Statistik (Maschinen;O.E.E. Statistic (by machine;-;-;-;-;
O.E.E. Statistik (Zeit;O.E.E. Statistic (date/time;-;-;-;-;
O.E.E. Zeit;O.E.E. Time;-;-;-;-;
Oben;Above;Oppe;-;-;Uppe;
Object schützen;Protect object;-;-;-;Skydda objekt;
odd;Odd;-;-;-;ojämn;
oder die Netzwerkverbindung zum Server ist gestört;or the network connection to the server is down;eller netværksforbindelsen til serveren er forstyrret;o la conexión de red con el servidor es defectuosa;-;eller nätverksförbindelsen till servern är störd;
OEE;OEE;-;-;-;-;
OEE Korrektur;OEE Correction;;;;;
OEE Manuell;OEE manual;;;;;
OEE Statistik;O.E.E. Statistic;-;-;-;-;
OEE Statistik (Overall Equipment Effectiveness;OEE Statistics (Overall Equipment Effectiveness;-;-;-;-;
OEE Statistik gedruckt;O.E.E report printed;-;-;-;-;
offline;offline;-;-;-;offline;
Offline;Offline;-;-;-;Offline;
Offline Maschine;Offline machine;-;-;-;Offline maskin;
Offline Maschinen falsch konfiguriert;Offline machine wrong konfiguration;-;-;-;-;
Offline Maschinen in Werkstatt zeigen;Show offline machines in plant monitoring;-;-;-;Visa offline maskin i verkstad;
Öffnen;Open;-;-;-;Öppna;
öffnen;open;-;-;-;öppna;
Offset in sek;Offset in sec.;-;-;-;Offset i sek.;
OFFSET_IN_SEK;OFFSET_IN_SEC;-;-;-;OFFSET_I_SEK;
ohne;without;-;-;-;utan;
Ohne Freigabe;Unenabled;-;-;-;Utan frisläppning;
Ohne Gruppe;Without group;uden gruppe;-;-;Utan grupp;
ohne Prüfung;without testing;-;-;-;utan kontroll;
Ohne Zuordnung;Without Allocation;-;-;-;Utan tillordning;
Ok;Ok;;;;;
OK;OK;OK;OK;OK;OK;
OK und Datensatz kopieren;Ok and copy data record;-;-;-;-;
Okt;Oct;-;-;-;Okt;
Oktober;October;oktober;Octubre;-;Oktober;
Oper. Cavity;Act. cavity;-;-;-;-;
Operation;Operation;-;-;-;Operation;
opt;Opt;-;-;-;opt;
OPT;OPT;-;-;-;OPT;
optimieren;optimize;-;-;-;optimera;
Optimieren;Optimize;-;-;-;Optimera;
Optimieren als Arbeitsgang;Optimize as operation;-;-;-;Optimera som arbetsgång;
optimiert;optimized;-;-;-;optimerat;
optimierter Auftrag vorhanden;Optimized job exists;-;Tarea optimizada existente;-;optimerat uppdrag existerar;
Optimierung;Optimization;-;Optimización;-;Optimering;
Optimierung beendet;Optimization finished;-;-;-;-;
Optimierung gestartet;Start optimization;-;-;-;-;
Optimierungsprotokoll;Optimization log;-;Informe sobre optimización;-;Optimeringsprotokoll;
Option;Option;-;Opción;-;Option;
Option lt. Auftrag;Option acc. to requ.;-;-;-;Option enl. uppdrag;
Option lt.Auftrag;Option acc. to job;-;-;-;Option enl. uppdrag;
Optionen;Options;-;-;-;Optioner;
Orderlist;Order list;Ordreliste;Lista de órdenes;-;Uppdragslista;
Ort;Town;-;-;-;-;
P;P;-;-;-;P;
P-Nr;P-no;-;-;-;-;
Pack;Packed;-;Pack;-;Pack;
Pack-Protokoll;Package-Log;Pakprotokol;Informe sobre paquete;-;Pack-protokoll;
Packen;Packed;-;Pack;-;Packa;
Packgroesse;Pack size;-;-;-;Packstorlek;
PACKGROESSE;PACK SIZE;-;-;-;PACKNINGSSTORLEK;
Packgröße;Packsize;-;-;-;Packstorlek;
PACKLOG;PACK LOG;-;-;-;PACKLOGG;
Packstation (Feld verpackt;Packing station (Field packed;-;-;-;Packstation (fält-förpackat;
Pal. wechsel;Change pallet;Palleskift;Pal. wechsel;-;Byt pall;
Palette;Pallet;-;-;-;Pall;
PALETTE;PALETTE;-;-;-;PALL;
Paletten-Etikett;Pallette-label;-;-;-;Pall-etikett;
Paletten-Etiketten;Palette-labels;-;-;-;Pall-etiketter;
pall;Pawl/block;pal;-;-;pall;
Papierformat;Paper size;-;-;-;-;
Parameter Taktzeit-Archiv;Parameter cycletime archive;-;-;-;-;
Pareto-Analyse;Pareto analysis;Pareto-analyse;-;-;Pareto-analys;
Pareto-Analyse zur Ausschuss-Statistik;Pareto analysis to scrap statistics;-;-;-;Pareto-analys till utskotts-statistik;
Pareto-Analyse zur Produktions-Statistik;Pareto analysis for production statistic;-;-;-;Pareto-analys till produktions-statistik;
Pareto-Anzeige;Pareto-Display;-;-;-;Pareto-indikering;
Passwort;Password;-;Passwword;-;Lösenord;
Passwort checken;Password check;-;-;-;Kontrollera lösenord;
Paßwort eingeben;Enter password;-;-;-;Mata in lösenord;
Passwortabfrage;Password Request;-;-;-;Lösenordsförfrågan;
Pause 60 s;Pause 60 s;-;-;-;-;
Pausen;Pause;-;-;-;-;
Pausenende;Pauseend;-;-;-;-;
Pausenstart;Pausestart;-;-;-;-;
Period;Period;;;;;
Periode;Period;-;-;-;Period;
periodischer Ausdruck um;periodically print am;-;-;-;periodisk utskrift klockan;
Peripherietest;Periphery test;-;-;-;-;
Pers-Nr;Labor no;-;-;-;Pers-nr.;
Personal;Labor;personale;-;-;Personal;
Personal (Maschine;Labor (machine;-;-;-;Personal (maskin;
Personal abgemeldet;Labor loged off;Medarbejder frameldt;-;-;Personal avloggad;
Personal angemeldet;Labor logged in;Medarbejder indmeldt;-;-;Personal inloggad;
Personal anlegen;Input personnel ID;-;-;-;Skapa personal;
Personal Anmeldung;Labor login;-;-;-;Personal-inloggning;
Personal Anmeldung über Barcode;Labor login via barcode;-;-;-;Personal-inloggning via streckkod;
Personal anzeigen;Show labor;-;-;-;-;
Personal Liste;Labor list;Personalliste;-;-;Personallista;
Personal Log;Labor log;-;Introducir contraseña personal;-;Personal-logg;
Personal löschen;Delete labor;-;-;-;Radera personal;
Personal Name;Labor name;-;-;-;Personalnamn;
Personal nicht angemeldet;Labor unregistered;Medarbejder ikke indmeldt;-;-;-;
Personal Nr;Labor no;-;-;-;Personalnr;
Personal nummer unbekannt;Labor number unknown;-;-;-;Personalnr okänt;
Personal Typ;Type of labor;Personaltype;-;-;Personaltyp;
Personal unbekannt;Labor unknown;-;-;-;Personal okänd;
Personal-Nr;Labor no;Personalenr;-;-;Personalnr;
Personal-Nr. eingeben;Input labor no;-;-;-;Mata in personalnr;
Personal-Nr. ist schon vorhanden;Labor no already exists;-;-;-;Pesonalnr existerar redan;
Personal-Nr. unbekannt;Labor-no unknown;Ukendt medarbejdernr.;-;-;-;
Personalabmeldung nach;Unregister labor to;-;-;-;Avregistrering av personal efter;
